GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)
9794	P21554	ANRGGDLWBIOPIV-UHFFFAOYSA-N	Ki	86.6	86.6	nM	23085772
9870	P21554	ANTKBACNWQHQJE-UHFFFAOYSA-N	Ki	1000.0	0.0	nM	20684563
9870	P21554	ANTKBACNWQHQJE-UHFFFAOYSA-N	Ki	1000.0	1000.0	nM	20684563
9894	P21554	ANTOAOJYHLZPCF-UHFFFAOYSA-N	Ki	10.3	10.3	nM	18511157
9894	P21554	ANTOAOJYHLZPCF-UHFFFAOYSA-N	Ki	10.3	10.3	nM	18511157
10020	P21554	ANYRPLTZNUMLQT-FGZHOGPDSA-N	Ki	56.9	56.9	nM	17521177
10020	P21554	ANYRPLTZNUMLQT-FGZHOGPDSA-N	Ki	57.54	57.54	nM	17521177,17980589
10124	P21554	AOCSQGAXWSYTPJ-UHFFFAOYSA-N	EC50	0.0	20000.0	nM	21354795
10304	P21554	AOKBDJJFRJTNHT-UHFFFAOYSA-N	Ki	96.0	96.0	nM	17507224
10316	P21554	AOKUIPSHLAAXQK-AREMUKBSSA-N	IC50	1.3	1.3	nM	20423086
10394	P21554	AONQVKRIOAZBTM-UHFFFAOYSA-N	Ki	4.6	4.6	nM	24936232
10452	P21554	AOOSLVQJGFKVEB-BBMPLOMVSA-N	Inhibition	53.0	53.0	%	22959249
10471	P21554	AOPKGUPAQXHRKK-UHFFFAOYSA-N	Activity	-8.0	-8.0	%	19278853
10471	P21554	AOPKGUPAQXHRKK-UHFFFAOYSA-N	Activity	45.0	45.0	%	23679955
10471	P21554	AOPKGUPAQXHRKK-UHFFFAOYSA-N	Ki	10000.0	10000.0	nM	23679955
10545	P21554	AORWKJYDURSPEO-UHFFFAOYSA-N	Ki	7222.0	7222.0	nM	17884494
10590	P21554	AOUFQVBTKHDZLB-UHFFFAOYSA-N	Activity	59.1	59.1	%	17915849
10590	P21554	AOUFQVBTKHDZLB-UHFFFAOYSA-N	Activity	60.4	60.4	%	17915849
10806	P21554	APALFDQMNQSSEI-UHFFFAOYSA-N	Ki	20.0	20.0	nM	17383180
10838	P21554	APBYKXACVQBIKS-UHFFFAOYSA-N	Inhibition	73.0	73.0	%	19520572
10838	P21554	APBYKXACVQBIKS-UHFFFAOYSA-N	Ki	520.0	520.0	nM	19520572
10936	P21554	APFSSRHVRZNBHU-UHFFFAOYSA-N	Ki	140.0	140.0	nM	19595596
11169	P21554	APOBSGRZASPDHP-UHFFFAOYSA-N	EC50	21.0	21.0	nM	15664830
11169	P21554	APOBSGRZASPDHP-UHFFFAOYSA-N	IC50	1.4	1.4	nM	15664830
11265	P21554	APRBPPZVNUNKCS-VEJZVKIUSA-N	Inhibition	26.0	26.0	%	MedChemComm, (2014) 5:5:632
11265	P21554	APRBPPZVNUNKCS-VEJZVKIUSA-N	Ki	0.0	10000.0	nM	MedChemComm, (2014) 5:5:632
11503	P21554	APZRMZNKLVPYEJ-UHFFFAOYSA-N	Kd	4.9	4.9	nM	10633038
11658	P21554	AQFXWTYTJAHYTB-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	22738271
11777	P21554	AQINYBONKVJPOR-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	11020293
