gpcrdb_id,species,p-value,unit,pKi,assay_type,assay_des,source,molwt,logp,smiles,doi
82185,Human,6.7,pKi,6.7,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cellsDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cells,ChEMBL,599,7,CCCNC(=O)NC1(c2ccccc2)CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,10.1021/jm301181r
83118,Human,4.9,pKi,4.9,Binding,"Displacementof[3H]-CP55,940fromhumanCB1receptorafter60minsbymicroscintillationcountinganalysisDisplacementof[3H]-CP55,940fromhumanCB1receptorafter60minsbymicroscintillationcountinganalysis",ChEMBL,438,4.7,O=C(Nc1sc2c(c1C(=O)N1CCCCC1)CCOC2)c1ccccc1C(F)(F)F,10.1016/j.bmcl.2012.10.087
83119,Human,4.7,pKi,4.7,Binding,"Displacementof[3H]-CP55,940fromhumanCB1receptorafter60minsbymicroscintillationcountinganalysisDisplacementof[3H]-CP55,940fromhumanCB1receptorafter60minsbymicroscintillationcountinganalysis",ChEMBL,454,4.6,O=C(Nc1sc2c(c1C(=O)N1CCCCC1)CCOC2)c1ccccc1OC(F)(F)F,10.1016/j.bmcl.2012.10.087
83304,Human,7.9,pKi,7.9,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinHEK293cellsafter1hrbyliquidscintillationspectrophotometryDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinHEK293cellsafter1hrbyliquidscintillationspectrophotometry,ChEMBL,433,7.3,CCCCCn1c(C)c(C(=O)c2ccc(Br)c3ccccc23)c2ccccc21,10.1016/j.bmc.2012.01.038
83312,Human,7.6,pKi,7.6,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinHEK293cellsafter1hrbyliquidscintillationspectrophotometryDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinHEK293cellsafter1hrbyliquidscintillationspectrophotometry,ChEMBL,375,6.9,CCCCCn1cc(C(=O)c2cccc3cccc(Cl)c23)c2ccccc21,10.1016/j.bmc.2012.01.038
83313,Human,6.9,pKi,6.9,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinHEK293cellsafter1hrbyliquidscintillationspectrophotometryDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinHEK293cellsafter1hrbyliquidscintillationspectrophotometry,ChEMBL,389,7.2,CCCCCn1c(C)c(C(=O)c2cccc3cccc(Cl)c23)c2ccccc21,10.1016/j.bmc.2012.01.038
114954,Human,7.2,pKi,7.2,Binding,Displacementof[3H]CP55940fromhumanCB1RexpressedinCHOcellsDisplacementof[3H]CP55940fromhumanCB1RexpressedinCHOcells,ChEMBL,407,5.2,N#Cc1ccccc1CSc1nnc2c3ccccc3n(Cc3ccccc3)c2n1,10.1016/j.bmc.2014.11.002
114955,Human,6.6,pKi,6.6,Binding,Displacementof[3H]CP55940fromhumanCB1RexpressedinCHOcellsDisplacementof[3H]CP55940fromhumanCB1RexpressedinCHOcells,ChEMBL,400,5.5,Fc1ccccc1CSc1nnc2c3ccccc3n(Cc3ccccc3)c2n1,10.1016/j.bmc.2014.11.002
114945,Human,5.5,pKi,5.5,Binding,Displacementof[3H]CP55940fromhumanCB1RexpressedinCHOcellsDisplacementof[3H]CP55940fromhumanCB1RexpressedinCHOcells,ChEMBL,395,4.4,N#Cc1ccccc1CSc1nnc2c(n1)[nH]c1cccc(Br)c12,10.1016/j.bmc.2014.11.002
85959,Human,6.3,pKi,6.3,Binding,"Displacementof[3H]CP-55,940fromhumanCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,459,4.4,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(-c3ccccc3)nc12,10.1016/j.ejmech.2016.02.032
